latitude,longitude,lat-long
43.664679,-79.319687,"43.665269,-79.319796"
43.664993,-79.319222,"43.665269,-79.319796"
43.664672,-79.31978,"43.665269,-79.319796"
43.665967,-79.318955,"43.665269,-79.319796"
43.665121,-79.321347,"43.665269,-79.319796"
43.663542,-79.319882,"43.665269,-79.319796"
43.666157,-79.317863,"43.665269,-79.319796"
43.66573,-79.3199,"43.665269,-79.319796"
43.66573,-79.3199,"43.665269,-79.319796"
43.66573,-79.3199,"43.665269,-79.319796"
43.665059,-79.319092,"43.665269,-79.319796"
43.665573,-79.32053,"43.665269,-79.319796"
43.665829,-79.319307,"43.665269,-79.319796"
43.666131,-79.318233,"43.665269,-79.319796"
43.666131,-79.318233,"43.665269,-79.319796"
43.665588,-79.318755,"43.665269,-79.319796"
43.665095,-79.320922,"43.665269,-79.319796"
43.665487,-79.320937,"43.665269,-79.319796"
43.665908,-79.318993,"43.665269,-79.319796"
43.663842,-79.320397,"43.665269,-79.319796"
43.665595,-79.318663,"43.665269,-79.319796"
43.664926,-79.320942,"43.665269,-79.319796"
43.665089,-79.321014,"43.665269,-79.319796"
43.665973,-79.318863,"43.665269,-79.319796"
43.66621,-79.317918,"43.665269,-79.319796"
43.66525,-79.322676,"43.665269,-79.319796"
43.666059,-79.318695,"43.665269,-79.319796"
43.665121,-79.321347,"43.665269,-79.319796"
43.663542,-79.319882,"43.665269,-79.319796"
43.666623,-79.316861,"43.665269,-79.319796"
43.666356,-79.32056,"43.665269,-79.319796"
43.666446,-79.316973,"43.665269,-79.319796"
43.666065,-79.318363,"43.665269,-79.319796"
43.666315,-79.317233,"43.665269,-79.319796"
43.666295,-79.317511,"43.665269,-79.319796"
43.666054,-79.316958,"43.665269,-79.319796"
43.666034,-79.317236,"43.665269,-79.319796"
43.66387,-79.319232,"43.665269,-79.319796"
43.665708,-79.321767,"43.665269,-79.319796"
43.666264,-79.316383,"43.665269,-79.319796"
43.666535,-79.322188,"43.665269,-79.319796"
43.665022,-79.321939,"43.665269,-79.319796"
43.662988,-79.319,"43.665269,-79.319796"
43.66612,-79.316828,"43.665269,-79.319796"
43.664877,-79.322104,"43.665269,-79.319796"
43.666211,-79.321799,"43.665269,-79.319796"
43.663542,-79.319882,"43.665269,-79.319796"
43.66495,-79.322161,"43.665269,-79.319796"
43.666564,-79.321575,"43.665269,-79.319796"
43.666126,-79.316736,"43.665269,-79.319796"
43.671919,-79.446688,"43.67142,-79.445947"
43.67215,-79.445837,"43.67142,-79.445947"
43.67047,-79.448841,"43.67142,-79.445947"
43.668763,-79.444544,"43.67142,-79.445947"
43.670727,-79.44819,"43.67142,-79.445947"
43.672671,-79.446388,"43.67142,-79.445947"
43.67171,-79.444176,"43.67142,-79.445947"
43.670506,-79.447584,"43.67142,-79.445947"
43.671972,-79.449035,"43.67142,-79.445947"
43.670714,-79.447804,"43.67142,-79.445947"
43.671064,-79.44917,"43.67142,-79.445947"
43.66883,-79.44362,"43.67142,-79.445947"
43.67158,-79.44364,"43.67142,-79.445947"
43.670173,-79.44753,"43.67142,-79.445947"
43.669853,-79.445,"43.67142,-79.445947"
43.670649,-79.442555,"43.67142,-79.445947"
43.672255,-79.448239,"43.67142,-79.445947"
43.670728,-79.442241,"43.67142,-79.445947"
43.669582,-79.448698,"43.67142,-79.445947"
43.670667,-79.448452,"43.67142,-79.445947"
43.672266,-79.44347,"43.67142,-79.445947"
43.672266,-79.44347,"43.67142,-79.445947"
43.673341,-79.444905,"43.67142,-79.445947"
43.672905,-79.443947,"43.67142,-79.445947"
43.672905,-79.443947,"43.67142,-79.445947"
43.669323,-79.445336,"43.67142,-79.445947"
43.668718,-79.444397,"43.67142,-79.445947"
43.672346,-79.443155,"43.67142,-79.445947"
43.672346,-79.443155,"43.67142,-79.445947"
43.67047,-79.448841,"43.67142,-79.445947"
43.671537,-79.442698,"43.67142,-79.445947"
43.669358,-79.444079,"43.67142,-79.445947"
43.669317,-79.44772,"43.67142,-79.445947"
43.673458,-79.447918,"43.67142,-79.445947"
43.67271,-79.44892,"43.67142,-79.445947"
43.669089,-79.44469,"43.67142,-79.445947"
43.673272,-79.443538,"43.67142,-79.445947"
43.669206,-79.447702,"43.67142,-79.445947"
43.669206,-79.447702,"43.67142,-79.445947"
43.67189,-79.442474,"43.67142,-79.445947"
43.669379,-79.443801,"43.67142,-79.445947"
43.669018,-79.447204,"43.67142,-79.445947"
43.669018,-79.447204,"43.67142,-79.445947"
43.668966,-79.447149,"43.67142,-79.445947"
43.669465,-79.443394,"43.67142,-79.445947"
43.673546,-79.443629,"43.67142,-79.445947"
43.668729,-79.445007,"43.67142,-79.445947"
43.668815,-79.4446,"43.67142,-79.445947"
43.668625,-79.444896,"43.67142,-79.445947"
43.668566,-79.444934,"43.67142,-79.445947"
43.666157,-79.317863,"43.666224,-79.317693"
43.666295,-79.317511,"43.666224,-79.317693"
43.666034,-79.317236,"43.666224,-79.317693"
43.666446,-79.316973,"43.666224,-79.317693"
43.666315,-79.317233,"43.666224,-79.317693"
43.66621,-79.317918,"43.666224,-79.317693"
43.666623,-79.316861,"43.666224,-79.317693"
43.666054,-79.316958,"43.666224,-79.317693"
43.666131,-79.318233,"43.666224,-79.317693"
43.666264,-79.316383,"43.666224,-79.317693"
43.666131,-79.318233,"43.666224,-79.317693"
43.66612,-79.316828,"43.666224,-79.317693"
43.666322,-79.317423,"43.666224,-79.317693"
43.666781,-79.315436,"43.666224,-79.317693"
43.666126,-79.316736,"43.666224,-79.317693"
43.664993,-79.319222,"43.666224,-79.317693"
43.666538,-79.316473,"43.666224,-79.317693"
43.666322,-79.317141,"43.666224,-79.317693"
43.666459,-79.316788,"43.666224,-79.317693"
43.665982,-79.317181,"43.666224,-79.317693"
43.6661,-79.317106,"43.666224,-79.317693"
43.666126,-79.316736,"43.666224,-79.317693"
43.664679,-79.319687,"43.666224,-79.317693"
43.666065,-79.318363,"43.666224,-79.317693"
43.66688,-79.314844,"43.666224,-79.317693"
43.666814,-79.314974,"43.666224,-79.317693"
43.66663,-79.315974,"43.666224,-79.317693"
43.66612,-79.316828,"43.666224,-79.317693"
43.666512,-79.316843,"43.666224,-79.317693"
43.665967,-79.318955,"43.666224,-79.317693"
43.666626,-79.314476,"43.666224,-79.317693"
43.666059,-79.318695,"43.666224,-79.317693"
43.665973,-79.318863,"43.666224,-79.317693"
43.665595,-79.318663,"43.666224,-79.317693"
43.666527,-79.315069,"43.666224,-79.317693"
43.665588,-79.318755,"43.666224,-79.317693"
43.665908,-79.318993,"43.666224,-79.317693"
43.667017,-79.314491,"43.666224,-79.317693"
43.666716,-79.315566,"43.666224,-79.317693"
43.665829,-79.319307,"43.666224,-79.317693"
43.663542,-79.319882,"43.666224,-79.317693"
43.667484,-79.317371,"43.666224,-79.317693"
43.667208,-79.31887,"43.666224,-79.317693"
43.665059,-79.319092,"43.666224,-79.317693"
